Specimen,Sp.Code,proboscis,body
214,C001,3.16,12.03
213,C001,3.34,12.64
234,C001,3.06,11.51
233,C001,3.49,11.29
82,C001,3.14,11.15
149,C002,3.18,13.15
153,C002,3.43,12.26
156,C002,3.53,12.57
139,C002,3.25,11.76
151,C002,3.08,12.94
52,C009,1.16,13.49
39,C009,1.09,13.36
31,C009,1.06,13.83
22,C009,0.96,13.28
34,C009,1.01,14.2
133,C024,0.93,11.48
26,C024,0.96,12.48
5,C024,0.73,10.67
102,C024,0.87,11.67
42,C024,0.85,11.81
122,C060,1.09,13.15
137,C060,0.96,12.89
138,C060,1.02,12.41
162,C060,0.87,12.06
164,C060,0.95,11.55
196,C112,0.6,13.45
198,C112,0.63,12.86
179,C112,0.56,12.06
197,C112,0.69,12.79
199,C112,0.64,12.16
170,C112,0.54,13.16
28,C150,0.83,14.61
32,C150,0.86,13.98
36,C150,0.79,14.12
38,C150,0.75,13.69
70,C150,0.67,13.99
61,C151,3.88,13.8
79,C151,3.95,13.78
66,C151,3.86,12.91
48,C151,3.67,12.95
188,C151,3.77,13.4
53,C156,1.86,11.45
54,C156,2.13,11.93
59,C156,2.05,10.58
69,C156,2.41,12.41
107,C156,1.95,12.15
142,C163,1.83,10.94
80,C163,1.91,9.47
144,C163,1.84,10.17
166,C163,1.67,9.59
130,C163,1.63,8.96
206,C166,2.17,9.21
207,C166,1.98,9.04
208,C166,2.05,8.89
209,C166,1.86,8.74
210,C166,1.73,9.35
146,C173,2.29,8.46
56,C173,2,8.57
125,C173,2.19,8.47
117,C173,2.36,7.06
101,C173,2.79,8.81
13,C181,1.94,11.39
20,C181,2.51,9.09
27,C181,2.73,10.47
55,C181,2.49,10.86
2,C181,2.82,10.59
14,C181,2.9,9.94
129,C183,2.45,9.19
71,C183,2.33,10.27
77,C183,2.8,10
105,C183,2.28,10.71
203,C183,2.38,9.83
35,C201,2.6,10.16
33,C201,2.54,10.17
21,C201,2.77,10.25
15,C201,2.51,10.24
8,C201,2.49,10.19
81,C306,2.54,8.52
67,C306,2.01,7.43
94,C306,2.29,8.39
190,C306,2.15,8.22
106,C306,1.95,8.99
