Date,Specimen.code,Sp.Code,T.head,P.head,T.proboscis,P.proboscis,T.thorax,P.thorax,T.abdomen,P.abdomen,T.leg,P.leg
8/24/18,78,C001,12,14,34,21,10,6,14,18,111,222
8/24/18,82,C001,19,15,18,28,77,71,7,9,114,122
8/24/18,90,C001,31,15,35,62,49,94,35,48,231,267
8/30/18,214,C001,49,28,35,65,66,42,33,39,61,44
8/30/18,231,C001,33,38,52,160,97,141,31,81,597,104
8/30/18,232,C001,78,61,132,100,37,39,161,93,154,118
8/30/18,233,C001,37,21,78,27,78,79,94,102,255,211
8/30/18,234,C001,78,74,250,264,69,40,121,69,280,264
8/30/18,236,C001,46,37,32,44,33,34,28,27,233,332
8/30/18,239,C001,74,37,88,59,123,112,70,32,476,347
8/27/18,143,C002,141,58,166,74,128,188,57,65,1080,705
8/27/18,145,C002,52,30,54,144,37,70,184,163,355,519
8/27/18,147,C002,99,34,183,65,87,101,37,71,680,389
8/27/18,149,C002,87,60,119,79,81,103,58,62,695,719
8/27/18,151,C002,35,30,59,117,219,147,50,54,619,763
8/27/18,152,C002,24,15,17,42,26,28,32,32,381,282
8/27/18,153,C002,64,57,62,61,68,63,41,35,527,410
8/27/18,154,C002,116,139,245,208,217,336,74,61,476,770
8/27/18,155,C002,34,45,28,99,17,31,30,74,156,468
8/27/18,156,C002,32,19,54,38,20,10,41,53,351,234
8/27/18,157,C002,52,62,35,168,59,71,46,68,790,936
8/21/18,25,C009,14,14,65,89,62,51,14,9,26,6
8/21/18,31,C009,28,28,90,280,41,30,2,3,65,75
8/21/18,34,C009,10,5,53,35,8,9,2,5,21,40
8/21/18,39,C009,21,22,86,93,59,36,14,8,28,30
8/21/18,44,C009,60,231,813,772,72,32,33,52,249,200
8/22/18,50,C009,28,22,92,118,13,9,3,6,58,53
8/22/18,52,C009,105,74,151,488,135,111,14,19,107,145
8/23/18,65,C009,7,4,30,91,38,42,7,10,65,59
8/24/18,93,C009,5,50,10,257,4,10,6,5,12,57
8/26/18,127,C009,52,6,85,26,10,6,11,2,61,24
8/20/18,5,C024,147,33,108,99,63,17,7,1,141,45
8/20/18,6,C024,11,36,22,160,23,24,3,10,12,19
8/21/18,26,C024,67,5,176,44,27,6,10,4,39,5
8/21/18,42,C024,243,57,818,521,63,18,57,56,121,132
8/21/18,46,C024,54,109,183,672,22,23,31,23,135,151
8/23/18,60,C024,114,57,188,283,23,19,6,5,144,95
8/24/18,84,C024,74,78,175,395,30,13,15,22,68,159
8/24/18,86,C024,84,9,59,17,8,13,7,8,90,19
8/24/18,88,C024,17,40,61,452,13,12,6,9,96,83
8/24/18,102,C024,78,47,64,77,242,148,8,3,104,92
8/26/18,133,C024,46,25,193,381,90,50,4,5,196,184
