Sp.Code,Species
C001,"Apis cerana  Fabricius, 1758"
C002,"Apis mellifera Linnaeus, 1865"
C009,"Vespula germanica Fabricius, 1793"
C024,"Dolichovespula saxonica Fabricius, 1767"
C060,"Polistes snelleni de Saussure, 1862"
C112,"Tiphia vernalis Rohwer, 1924"
C150,"Polistes gallicus Linnaeus, 1767"
C151,"Eristalis tenax Linnaeus, 1758"
C156,"Eristalis cerealis fabricius, 1805"
C163,"Episyrphus balteatus de Geer, 1776"
C166,"Sphaerophoria scripta Linnaeus, 1758"
C173,"Lucilia sericata Meigen, 1826"
C181,"Parasarcophaga sericea Walker, 1852"
C183,"Eristalinus aeneus Scopoli, 1763"
C201,"Linnaemya comta Fallén, 1810"
C306,"Lucilia illustris Meigen, 1826"
