Video code,Sp.Code,Type.flower,No. flowers visited,Time used,Visit duration
20180823,C001,T,8,15,1.88
20180823,C001,T,4,9,2.25
20180823,C001,T,9,20,2.22
20180823,C001,T,4,9,2.25
20180823,C001,T,3,6,2
20180823,C001,T,4,7,1.75
20180823,C001,T,2,5,2.5
20180823,C001,T,1,2,2
20180824,C001,T,2,6,3
20180824,C001,T,5,13,2.6
20180823,C001,T,5,8,1.6
20180802,C001,T,2,4,2
20180903,C001,T,9,9,1
20180824,C001,T,2,5,2.5
20180824,C001,T,5,12,2.4
20180824,C001,T,3,4,1.33
20180824,C001,T,6,13,2.17
20180824,C001,T,9,15,1.67
20180824,C001,T,5,5,1
20180824,C001,T,4,5,1.25
20180824,C001,T,5,10,2
20180824,C001,T,3,4,1.33
20180824,C001,T,3,8,2.67
IMG-0175,C001,T,2,4,2
IMG-2694,C001,T,4,8,2
IMG-9917,C001,T,3,6,2
IMG-9918,C001,T,5,10,2
IMG-1749,C001,T,3,6,2
5O1A3326,C001,T,2,4,2
20180823,C151,T,4,6,1.5
20180823,C151,T,3,4,1.33
20180823,C151,T,7,19,2.71
20180823,C151,T,7,16,2.29
20180824,C151,T,3,11,3.67
20180824,C151,T,7,15,2.14
20180824,C151,T,5,7,1.4
20180823,C151,T,6,11,1.83
20180823,C151,T,6,15,2.5
20180823,C151,T,6,7,1.17
20180823,C151,T,5,7,1.4
20180823,C151,T,5,6,1.2
20180802,C151,T,3,7,2.33
20180803,C151,T,5,8,1.6
20180903,C151,T,4,7,1.75
20180903,C151,T,6,6,1
20180823,C151,T,4,9,2.25
20180824,C151,T,8,16,2
20180824,C151,T,7,15,2.14
20180824,C151,T,4,7,1.75
20180824,C151,T,2,3,1.5
IMG-0514,C151,T,1,4,4
IMG-0247,C151,T,1,2,2
IMG-0252,C151,T,4,8,2
IMG-2696,C151,T,6,17,2.83
IMG-2696,C151,T,4,12,3
IMG-1668,C151,T,4,10,2.5
IMG-1785,C151,T,4,8,2
IMG-2890,C150,T,1,5,5
IMG-2960,C150,T,1,3,3
IMG-3110,C150,T,1,4,4
5O1A3346,C150,T,3,15,5
20180825,C150,T,2,4,2
20180826,C150,T,1,5,5
20180826,C150,T,3,13,4.33
20180824,C150,T,3,17,5.67
20180826,C150,T,1,5,5
20180824,C002,T,3,4,1.33
20180803,C002,T,1,2,2
20180903,C002,T,3,8,2.67
20180903,C002,T,2,2,1
20180903,C002,T,2,3,1.5
20180903,C002,T,1,2,2
20180903,C002,T,3,5,1.67
20180903,C002,T,7,12,1.71
20180903,C002,T,5,9,1.8
